"filename", "language", "Java", "Shell Script", "comment", "blank", "total"
"c:\Users\treic\asciia\run.sh", "Shell Script", 0, 2, 1, 3, 6
"c:\Users\treic\asciia\src\main\app\InputHandler.java", "Java", 32, 0, 0, 10, 42
"c:\Users\treic\asciia\src\main\app\Main.java", "Java", 32, 0, 46, 13, 91
"c:\Users\treic\asciia\src\main\app\Screen.java", "Java", 70, 0, 0, 23, 93
"c:\Users\treic\asciia\src\main\app\Vec2i.java", "Java", 86, 0, 15, 27, 128
"c:\Users\treic\asciia\src\main\app\game\GameInstance.java", "Java", 23, 0, 4, 16, 43
"c:\Users\treic\asciia\src\main\app\game\MissionPackage.java", "Java", 48, 0, 23, 13, 84
"c:\Users\treic\asciia\src\main\app\game\rendering\Animation.java", "Java", 17, 0, 0, 7, 24
"c:\Users\treic\asciia\src\main\app\game\rendering\BitmapFont.java", "Java", 30, 0, 0, 12, 42
"c:\Users\treic\asciia\src\main\app\game\rendering\Cell.java", "Java", 17, 0, 0, 8, 25
"c:\Users\treic\asciia\src\main\app\game\rendering\CellScreen.java", "Java", 128, 0, 1, 32, 161
"c:\Users\treic\asciia\src\main\app\game\rendering\CharSet.java", "Java", 259, 0, 17, 3, 279
"c:\Users\treic\asciia\src\main\app\game\rendering\Terminal.java", "Java", 36, 0, 3, 13, 52
"c:\Users\treic\asciia\src\main\app\game\rendering\Texture.java", "Java", 56, 0, 3, 10, 69
"c:\Users\treic\asciia\src\main\app\game\world\Bot.java", "Java", 7, 0, 0, 3, 10
"c:\Users\treic\asciia\src\main\app\game\world\Entity.java", "Java", 4, 0, 0, 2, 6
"c:\Users\treic\asciia\src\main\app\game\world\Room.java", "Java", 7, 0, 0, 4, 11
"c:\Users\treic\asciia\src\main\app\game\world\Rover.java", "Java", 7, 0, 0, 3, 10
"c:\Users\treic\asciia\src\main\app\game\world\Structure.java", "Java", 4, 0, 0, 2, 6
"c:\Users\treic\asciia\src\main\app\game\world\WorldObject.java", "Java", 5, 0, 0, 3, 8
"c:\Users\treic\asciia\src\main\app\ui\rendering\UIScreen.java", "Java", 13, 0, 0, 7, 20
"Total", "-", 881, 2, 113, 214, 1210
